Timestamp,Channel 1,Channel 2,Channel 3
2025-12-09 07:15:08.404,-1.883328,-1.881654,-1.882491
2025-12-09 07:15:09.376,-1.882491,-1.881654,-1.881654
2025-12-09 07:15:10.450,-1.881654,-1.880816,-1.882491
2025-12-09 07:15:11.374,-1.881654,-1.881654,-1.880816
2025-12-09 07:15:12.396,-1.881654,-1.882491,-1.881654
2025-12-09 07:15:13.400,-1.880816,-1.881654,-1.882491
2025-12-09 07:15:14.405,-1.882491,-1.882491,-1.881654
2025-12-09 07:15:15.404,-1.882491,-1.881654,-1.883328
2025-12-09 07:15:16.402,-1.882491,-1.881654,-1.880816
2025-12-09 07:15:17.444,-1.881654,-1.880816,-1.881654
2025-12-09 07:15:18.401,-1.881654,-1.881654,-1.881654
2025-12-09 07:15:19.404,-1.881654,-1.881654,-1.881654
2025-12-09 07:15:20.403,-1.882491,-1.881654,-1.881654
2025-12-09 07:15:21.405,-1.881654,-1.881654,-1.881654
2025-12-09 07:15:22.404,-1.882491,-1.882491,-1.881654
2025-12-09 07:15:23.404,-1.882491,-1.882491,-1.882491
2025-12-09 07:15:24.402,-1.882491,-1.882491,-1.882491
2025-12-09 07:15:25.397,-1.883328,-1.881654,-1.880816
2025-12-09 07:15:26.403,-1.882491,-1.881654,-1.882491
2025-12-09 07:15:27.402,-1.882491,-1.880816,-1.881654
2025-12-09 07:15:28.404,-1.883328,-1.882491,-1.883328
2025-12-09 07:15:29.402,-1.882491,-1.881654,-1.881654
2025-12-09 07:15:30.398,-1.881654,-1.881654,-1.883328
2025-12-09 07:15:31.401,-1.882491,-1.883328,-1.882491
2025-12-09 07:15:32.402,-1.881654,-1.881654,-1.882491
2025-12-09 07:15:33.402,-1.882491,-1.882491,-1.882491
2025-12-09 07:15:34.404,-1.884165,-1.883328,-1.884165
2025-12-09 07:15:35.403,-1.882491,-1.881654,-1.882491
2025-12-09 07:15:36.404,-1.883328,-1.882491,-1.881654
2025-12-09 07:15:37.402,-1.882491,-1.881654,-1.883328
2025-12-09 07:15:38.403,-1.881654,-1.883328,-1.881654
2025-12-09 07:15:39.405,-1.882491,-1.882491,-1.882491
2025-12-09 07:15:40.400,-1.882491,-1.882491,-1.883328
2025-12-09 07:15:41.400,-1.884165,-1.884165,-1.884165
2025-12-09 07:15:42.399,-1.882491,-1.881654,-1.881654
2025-12-09 07:15:43.402,-1.883328,-1.882491,-1.881654
2025-12-09 07:15:44.398,-1.883328,-1.881654,-1.882491
2025-12-09 07:15:45.404,-1.882491,-1.882491,-1.882491
2025-12-09 07:15:46.401,-1.883328,-1.883328,-1.881654
2025-12-09 07:15:47.403,-1.882491,-1.882491,-1.882491
2025-12-09 07:15:48.404,-1.882491,-1.881654,-1.882491
2025-12-09 07:15:49.404,-1.883328,-1.882491,-1.882491
2025-12-09 07:15:50.404,-1.882491,-1.882491,-1.882491
2025-12-09 07:15:51.403,-1.881654,-1.882491,-1.881654
2025-12-09 07:15:52.402,-1.883328,-1.883328,-1.882491
2025-12-09 07:15:53.398,-1.883328,-1.881654,-1.881654
2025-12-09 07:15:54.405,-1.882491,-1.882491,-1.882491
2025-12-09 07:15:55.402,-1.884165,-1.883328,-1.883328
2025-12-09 07:15:56.403,-1.883328,-1.882491,-1.882491
2025-12-09 07:15:57.403,-1.881654,-1.883328,-1.882491
2025-12-09 07:15:58.404,-1.883328,-1.882491,-1.882491
2025-12-09 07:15:59.403,-1.882491,-1.882491,-1.882491
2025-12-09 07:16:00.404,-1.883328,-1.882491,-1.882491
2025-12-09 07:16:01.404,-1.883328,-1.883328,-1.881654
2025-12-09 07:16:02.404,-1.882491,-1.882491,-1.882491
2025-12-09 07:16:03.405,-1.882491,-1.883328,-1.883328
2025-12-09 07:16:04.403,-1.884165,-1.882491,-1.883328
