Timestamp,Channel1,Channel2,Channel3
2026-01-14 07:13:46.173,-1.89438,-1.89438,-1.89438
2026-01-14 07:13:47.095,-1.89438,-1.895217,-1.895217
2026-01-14 07:13:48.114,-1.893543,-1.893543,-1.89438
2026-01-14 07:13:49.190,-1.893543,-1.893543,-1.895217
2026-01-14 07:13:50.257,-1.89438,-1.89438,-1.89438
2026-01-14 07:13:51.107,-1.89438,-1.895217,-1.895217
2026-01-14 07:13:52.224,-1.89438,-1.893543,-1.893543
2026-01-14 07:13:53.107,-1.893543,-1.893543,-1.89438
2026-01-14 07:13:54.107,-1.895217,-1.89438,-1.89438
2026-01-14 07:13:55.107,-1.893543,-1.89438,-1.89438
2026-01-14 07:13:56.186,-1.89438,-1.892705,-1.892705
2026-01-14 07:13:57.107,-1.89438,-1.893543,-1.893543
2026-01-14 07:13:58.104,-1.89438,-1.893543,-1.893543
2026-01-14 07:13:59.109,-1.893543,-1.893543,-1.89438
2026-01-14 07:14:00.107,-1.893543,-1.89438,-1.892705
2026-01-14 07:14:01.101,-1.89438,-1.89438,-1.89438
2026-01-14 07:14:02.225,-1.895217,-1.893543,-1.89438
2026-01-14 07:14:03.219,-1.89438,-1.893543,-1.89438
2026-01-14 07:14:04.109,-1.893543,-1.89438,-1.893543
2026-01-14 07:14:05.228,-1.892705,-1.893543,-1.892705
2026-01-14 07:14:06.108,-1.89438,-1.893543,-1.893543
2026-01-14 07:14:07.225,-1.89438,-1.89438,-1.893543
2026-01-14 07:14:08.110,-1.891868,-1.89438,-1.893543
2026-01-14 07:14:09.107,-1.89438,-1.89438,-1.89438
2026-01-14 07:14:10.107,-1.893543,-1.893543,-1.89438
2026-01-14 07:14:11.107,-1.895217,-1.893543,-1.893543
2026-01-14 07:14:12.104,-1.892705,-1.892705,-1.893543
2026-01-14 07:14:13.109,-1.89438,-1.893543,-1.893543
2026-01-14 07:14:14.107,-1.89438,-1.89438,-1.893543
2026-01-14 07:14:15.221,-1.893543,-1.893543,-1.89438
2026-01-14 07:14:16.264,-1.89438,-1.893543,-1.893543
2026-01-14 07:14:17.108,-1.89438,-1.895217,-1.89438
2026-01-14 07:14:18.184,-1.893543,-1.893543,-1.89438
2026-01-14 07:14:19.109,-1.89438,-1.89438,-1.89438
2026-01-14 07:14:20.188,-1.893543,-1.895217,-1.89438
2026-01-14 07:14:21.107,-1.89438,-1.895217,-1.893543
2026-01-14 07:14:22.109,-1.896054,-1.892705,-1.895217
2026-01-14 07:14:23.109,-1.89438,-1.89438,-1.893543
2026-01-14 07:14:24.109,-1.893543,-1.89438,-1.89438
2026-01-14 07:14:25.111,-1.89438,-1.89438,-1.89438
2026-01-14 07:14:26.225,-1.896054,-1.896054,-1.895217
2026-01-14 07:14:27.110,-1.893543,-1.89438,-1.893543
2026-01-14 07:14:28.110,-1.896054,-1.896054,-1.89438
2026-01-14 07:14:29.110,-1.895217,-1.89438,-1.895217
2026-01-14 07:14:30.110,-1.89438,-1.89438,-1.89438
2026-01-14 07:14:31.221,-1.895217,-1.896054,-1.89438
2026-01-14 07:14:32.109,-1.895217,-1.89438,-1.895217
2026-01-14 07:14:33.224,-1.89438,-1.896054,-1.895217
2026-01-14 07:14:34.108,-1.89438,-1.896054,-1.895217
2026-01-14 07:14:35.227,-1.895217,-1.895217,-1.89438
2026-01-14 07:14:36.111,-1.895217,-1.89438,-1.89438
2026-01-14 07:14:37.107,-1.895217,-1.896054,-1.895217
2026-01-14 07:14:38.106,-1.89438,-1.89438,-1.89438
2026-01-14 07:14:39.110,-1.89438,-1.89438,-1.89438
2026-01-14 07:14:40.111,-1.895217,-1.895217,-1.895217
2026-01-14 07:14:41.104,-1.893543,-1.89438,-1.895217
2026-01-14 07:14:42.110,-1.89438,-1.895217,-1.89438
2026-01-14 07:14:43.189,-1.895217,-1.89438,-1.89438
2026-01-14 07:14:44.225,-1.893543,-1.895217,-1.895217
2026-01-14 07:14:45.148,-1.896054,-1.895217,-1.895217
2026-01-14 07:14:46.224,-1.895217,-1.89438,-1.89438
2026-01-14 07:14:47.108,-1.895217,-1.895217,-1.89438
2026-01-14 07:14:48.110,-1.895217,-1.895217,-1.896054
2026-01-14 07:14:49.109,-1.89438,-1.893543,-1.89438
2026-01-14 07:14:50.108,-1.89438,-1.89438,-1.893543
2026-01-14 07:14:51.112,-1.895217,-1.89438,-1.895217
2026-01-14 07:14:52.112,-1.895217,-1.89438,-1.895217
2026-01-14 07:14:53.108,-1.895217,-1.895217,-1.895217
2026-01-14 07:14:54.108,-1.89438,-1.89438,-1.89438
2026-01-14 07:14:55.108,-1.89438,-1.893543,-1.893543
2026-01-14 07:14:56.186,-1.89438,-1.895217,-1.895217
2026-01-14 07:14:57.109,-1.893543,-1.89438,-1.89438
2026-01-14 07:14:58.111,-1.89438,-1.89438,-1.893543
2026-01-14 07:14:59.230,-1.89438,-1.895217,-1.89438
2026-01-14 07:15:00.108,-1.89438,-1.895217,-1.89438
2026-01-14 07:15:01.111,-1.89438,-1.89438,-1.89438
2026-01-14 07:15:02.110,-1.896054,-1.895217,-1.895217
2026-01-14 07:15:03.109,-1.896054,-1.896054,-1.896054
2026-01-14 07:15:04.108,-1.89438,-1.89438,-1.89438
2026-01-14 07:15:05.107,-1.895217,-1.895217,-1.89438
2026-01-14 07:15:06.110,-1.89438,-1.895217,-1.89438
2026-01-14 07:15:07.180,-1.89438,-1.895217,-1.89438
2026-01-14 07:15:08.110,-1.89438,-1.89438,-1.893543
2026-01-14 07:15:09.188,-1.89438,-1.896054,-1.89438
2026-01-14 07:15:10.265,-1.895217,-1.893543,-1.895217
2026-01-14 07:15:11.108,-1.893543,-1.89438,-1.89438
2026-01-14 07:15:12.227,-1.89438,-1.895217,-1.895217
2026-01-14 07:15:13.108,-1.895217,-1.893543,-1.895217
2026-01-14 07:15:14.224,-1.89438,-1.895217,-1.896054
2026-01-14 07:15:15.110,-1.895217,-1.89438,-1.895217
2026-01-14 07:15:16.110,-1.895217,-1.895217,-1.895217
2026-01-14 07:15:17.110,-1.89438,-1.895217,-1.895217
2026-01-14 07:15:18.111,-1.896054,-1.895217,-1.895217
2026-01-14 07:15:19.149,-1.896054,-1.89438,-1.895217
2026-01-14 07:15:20.225,-1.896054,-1.895217,-1.89438
2026-01-14 07:15:21.108,-1.895217,-1.895217,-1.896054
2026-01-14 07:15:22.108,-1.895217,-1.89438,-1.89438
2026-01-14 07:15:23.226,-1.895217,-1.895217,-1.89438
2026-01-14 07:15:24.110,-1.89438,-1.89438,-1.89438
2026-01-14 07:15:25.225,-1.89438,-1.896054,-1.89438
2026-01-14 07:15:26.100,-1.895217,-1.89438,-1.89438
2026-01-14 07:15:27.183,-1.89438,-1.893543,-1.89438
2026-01-14 07:15:28.104,-1.895217,-1.89438,-1.896054
2026-01-14 07:15:29.101,-1.895217,-1.895217,-1.896054
2026-01-14 07:15:30.101,-1.896054,-1.896892,-1.895217
2026-01-14 07:15:31.101,-1.896892,-1.896054,-1.895217
2026-01-14 07:15:32.105,-1.896054,-1.896054,-1.896054
2026-01-14 07:15:33.222,-1.896054,-1.896892,-1.896054
2026-01-14 07:15:34.101,-1.896054,-1.896892,-1.896054
2026-01-14 07:15:35.220,-1.896054,-1.895217,-1.895217
2026-01-14 07:15:36.101,-1.895217,-1.896054,-1.895217
2026-01-14 07:15:37.102,-1.896054,-1.896892,-1.896054
2026-01-14 07:15:38.142,-1.896054,-1.896054,-1.896054
2026-01-14 07:15:39.101,-1.896054,-1.895217,-1.896892
2026-01-14 07:15:40.222,-1.896054,-1.896054,-1.895217
2026-01-14 07:15:41.105,-1.896054,-1.895217,-1.896054
2026-01-14 07:15:42.104,-1.895217,-1.89438,-1.896054
2026-01-14 07:15:43.105,-1.89438,-1.895217,-1.896054
2026-01-14 07:15:44.110,-1.896054,-1.896892,-1.895217
2026-01-14 07:15:45.108,-1.896054,-1.895217,-1.895217
2026-01-14 07:15:46.227,-1.895217,-1.89438,-1.896054
2026-01-14 07:15:47.110,-1.895217,-1.895217,-1.895217
2026-01-14 07:15:48.146,-1.895217,-1.895217,-1.895217
2026-01-14 07:15:49.148,-1.896054,-1.896054,-1.896892
2026-01-14 07:15:50.187,-1.895217,-1.896054,-1.896054
2026-01-14 07:15:51.228,-1.895217,-1.895217,-1.896054
2026-01-14 07:15:52.111,-1.896054,-1.896054,-1.895217
2026-01-14 07:15:53.227,-1.896054,-1.896892,-1.896054
2026-01-14 07:15:54.105,-1.896054,-1.89438,-1.89438
2026-01-14 07:15:55.227,-1.895217,-1.89438,-1.895217
2026-01-14 07:15:56.106,-1.896054,-1.896054,-1.896054
2026-01-14 07:15:57.111,-1.896054,-1.896892,-1.895217
2026-01-14 07:15:58.104,-1.896892,-1.896054,-1.895217
2026-01-14 07:15:59.108,-1.896054,-1.895217,-1.895217
2026-01-14 07:16:00.111,-1.895217,-1.896054,-1.896054
2026-01-14 07:16:01.188,-1.89438,-1.896054,-1.895217
2026-01-14 07:16:02.111,-1.896054,-1.896054,-1.896054
2026-01-14 07:16:03.111,-1.896054,-1.895217,-1.896054
2026-01-14 07:16:04.229,-1.896892,-1.895217,-1.896892
2026-01-14 07:16:05.110,-1.896892,-1.896892,-1.896054
2026-01-14 07:16:06.226,-1.896892,-1.896054,-1.895217
2026-01-14 07:16:07.110,-1.895217,-1.896054,-1.896054
2026-01-14 07:16:08.227,-1.896892,-1.896054,-1.896054
2026-01-14 07:16:09.112,-1.896054,-1.895217,-1.895217
2026-01-14 07:16:10.109,-1.89438,-1.895217,-1.896054
2026-01-14 07:16:11.112,-1.895217,-1.895217,-1.895217
2026-01-14 07:16:12.111,-1.89438,-1.895217,-1.896054
2026-01-14 07:16:13.110,-1.895217,-1.89438,-1.89438
2026-01-14 07:16:14.227,-1.895217,-1.896054,-1.895217
2026-01-14 07:16:15.112,-1.895217,-1.895217,-1.896054
2026-01-14 07:16:16.183,-1.895217,-1.89438,-1.895217
2026-01-14 07:16:17.231,-1.895217,-1.89438,-1.896054
2026-01-14 07:16:18.111,-1.896054,-1.895217,-1.896054
2026-01-14 07:16:19.229,-1.89438,-1.895217,-1.896054
2026-01-14 07:16:20.112,-1.895217,-1.895217,-1.895217
2026-01-14 07:16:21.226,-1.896054,-1.896054,-1.895217
2026-01-14 07:16:22.111,-1.896054,-1.896892,-1.896054
2026-01-14 07:16:23.112,-1.896892,-1.896054,-1.896054
2026-01-14 07:16:24.112,-1.896054,-1.895217,-1.89438
2026-01-14 07:16:25.187,-1.896054,-1.896054,-1.896892
2026-01-14 07:16:26.113,-1.895217,-1.895217,-1.895217
2026-01-14 07:16:27.112,-1.895217,-1.895217,-1.896054
2026-01-14 07:16:28.110,-1.896892,-1.895217,-1.896054
2026-01-14 07:16:29.105,-1.895217,-1.895217,-1.895217
2026-01-14 07:16:30.108,-1.896054,-1.896054,-1.896892
2026-01-14 07:16:31.114,-1.896054,-1.896054,-1.89438
2026-01-14 07:16:32.228,-1.896892,-1.89438,-1.896054
2026-01-14 07:16:33.112,-1.896054,-1.896892,-1.896054
2026-01-14 07:16:34.228,-1.896892,-1.896054,-1.896054
2026-01-14 07:16:35.112,-1.896054,-1.897729,-1.896892
2026-01-14 07:16:36.111,-1.895217,-1.896892,-1.896892
2026-01-14 07:16:37.111,-1.895217,-1.896054,-1.896054
2026-01-14 07:16:38.113,-1.895217,-1.895217,-1.896054
2026-01-14 07:16:39.110,-1.896892,-1.896892,-1.896892
2026-01-14 07:16:40.103,-1.895217,-1.896054,-1.896892
2026-01-14 07:16:41.110,-1.895217,-1.895217,-1.896054
2026-01-14 07:16:42.112,-1.896054,-1.895217,-1.895217
2026-01-14 07:16:43.110,-1.895217,-1.895217,-1.89438
2026-01-14 07:16:44.109,-1.895217,-1.89438,-1.895217
2026-01-14 07:16:45.229,-1.896054,-1.896054,-1.896054
2026-01-14 07:16:46.112,-1.895217,-1.895217,-1.895217
2026-01-14 07:16:47.230,-1.896054,-1.897729,-1.896054
2026-01-14 07:16:48.111,-1.895217,-1.89438,-1.895217
2026-01-14 07:16:49.229,-1.896892,-1.895217,-1.895217
2026-01-14 07:16:50.112,-1.895217,-1.896054,-1.896892
2026-01-14 07:16:51.112,-1.895217,-1.896054,-1.896054
2026-01-14 07:16:52.112,-1.89438,-1.895217,-1.896054
2026-01-14 07:16:53.112,-1.896054,-1.896054,-1.896054
2026-01-14 07:16:54.113,-1.896054,-1.895217,-1.896054
2026-01-14 07:16:55.114,-1.895217,-1.896054,-1.896054
2026-01-14 07:16:56.108,-1.896054,-1.895217,-1.896054
2026-01-14 07:16:57.113,-1.895217,-1.895217,-1.895217
2026-01-14 07:16:58.228,-1.895217,-1.896892,-1.896054
2026-01-14 07:16:59.107,-1.896892,-1.896054,-1.896054
2026-01-14 07:17:00.228,-1.896054,-1.896054,-1.895217
2026-01-14 07:17:01.110,-1.896054,-1.896054,-1.896054
2026-01-14 07:17:02.230,-1.896054,-1.89438,-1.896054
2026-01-14 07:17:03.111,-1.896054,-1.896054,-1.896054
2026-01-14 07:17:04.111,-1.895217,-1.895217,-1.895217
2026-01-14 07:17:05.113,-1.896054,-1.896892,-1.896054
2026-01-14 07:17:06.114,-1.895217,-1.896054,-1.896892
2026-01-14 07:17:07.110,-1.896892,-1.896054,-1.896892
2026-01-14 07:17:08.113,-1.895217,-1.896054,-1.895217
2026-01-14 07:17:09.112,-1.896054,-1.896054,-1.89438
2026-01-14 07:17:10.192,-1.895217,-1.896054,-1.896054
2026-01-14 07:17:11.231,-1.895217,-1.895217,-1.893543
2026-01-14 07:17:12.106,-1.895217,-1.896054,-1.895217
2026-01-14 07:17:13.230,-1.896054,-1.895217,-1.896054
2026-01-14 07:17:14.112,-1.896054,-1.89438,-1.895217
2026-01-14 07:17:15.231,-1.89438,-1.89438,-1.895217
2026-01-14 07:17:16.110,-1.896054,-1.896054,-1.895217
2026-01-14 07:17:17.111,-1.896054,-1.896892,-1.895217
2026-01-14 07:17:18.112,-1.895217,-1.895217,-1.896054
2026-01-14 07:17:19.113,-1.896054,-1.895217,-1.896892
2026-01-14 07:17:20.110,-1.896054,-1.896892,-1.896892
2026-01-14 07:17:21.229,-1.896054,-1.896054,-1.896054
2026-01-14 07:17:22.115,-1.896892,-1.896054,-1.895217
