Timestamp,Channel 1,Channel 2,Channel 3
2025-12-16 07:13:52.606,-1.8888542000000008,-1.8875620285714292,-1.8879924857142858
2025-12-16 07:13:53.582,-1.8885192000000004,-1.8879926857142861,-1.8877774571428574
2025-12-16 07:13:54.509,-1.8881841999999982,-1.8883037714285698,-1.8880407142857125
2025-12-16 07:13:55.677,-1.887418742857141,-1.8884712285714267,-1.8886864571428552
2025-12-16 07:13:56.509,-1.8878730571428552,-1.8888543714285697,-1.8885190999999981
2025-12-16 07:13:57.528,-1.8874421714285696,-1.8877059714285696,-1.888351742857141
2025-12-16 07:13:58.505,-1.8874421714285696,-1.8874666857142837,-1.8869641428571409
2025-12-16 07:13:59.506,-1.887657742857141,-1.887921199999998,-1.8878728857142837
2025-12-16 07:14:00.505,-1.888351742857141,-1.8886507571428552,-1.8893083142857123
2025-12-16 07:14:01.505,-1.8890455999999982,-1.8893803142857126,-1.8887941571428553
2025-12-16 07:14:02.506,-1.889332485714284,-1.889284742857141,-1.8882799999999982
2025-12-16 07:14:03.506,-1.8889737714285697,-1.8881125999999981,-1.887657742857141
2025-12-16 07:14:04.505,-1.888495485714284,-1.8875380857142838,-1.887298599999998
2025-12-16 07:14:05.505,-1.8885672285714268,-1.8874425142857125,-1.8880882857142838
2025-12-16 07:14:06.502,-1.8888303714285695,-1.887777542857141,-1.888255742857141
2025-12-16 07:14:07.504,-1.8884234857142839,-1.8871077999999981,-1.888447342857141
2025-12-16 07:14:08.618,-1.8875859142857123,-1.8867486571428553,-1.8874186571428553
2025-12-16 07:14:09.505,-1.8876576571428552,-1.8872987714285696,-1.8876102571428552
2025-12-16 07:14:10.506,-1.8882800857142839,-1.8876574857142838,-1.887921285714284
2025-12-16 07:14:11.506,-1.8879213714285696,-1.8872270285714268,-1.8880648571428553
2025-12-16 07:14:12.506,-1.8872511142857125,-1.8871074571428552,-1.886892399999998
2025-12-16 07:14:13.506,-1.887298942857141,-1.8872270285714268,-1.8871793714285694
2025-12-16 07:14:14.503,-1.8884952285714267,-1.8874421714285696,-1.888614799999998
2025-12-16 07:14:15.505,-1.8887586285714266,-1.8880164571428553,-1.889117342857141
2025-12-16 07:14:16.506,-1.8889259428571412,-1.8877613714285695,-1.8889977714285697
2025-12-16 07:14:17.506,-1.8888303714285695,-1.887506285714284,-1.888184342857141
2025-12-16 07:14:18.506,-1.888064685714284,-1.8872511999999981,-1.8875380857142838
2025-12-16 07:14:19.501,-1.887681999999998,-1.887226942857141,-1.8873707714285697
2025-12-16 07:14:20.506,-1.886988285714284,-1.8872987714285696,-1.8879927714285696
2025-12-16 07:14:21.504,-1.886988142857141,-1.8871074571428552,-1.887729485714284
2025-12-16 07:14:22.504,-1.8870119714285696,-1.8872270285714268,-1.887729485714284
2025-12-16 07:14:23.543,-1.8884952285714267,-1.8875139142857125,-1.8876339714285697
2025-12-16 07:14:24.506,-1.8892609142857126,-1.8878730571428552,-1.8890212857142838
2025-12-16 07:14:25.507,-1.888614799999998,-1.8876340571428554,-1.8888535999999982
2025-12-16 07:14:26.506,-1.8871793714285694,-1.8873947714285695,-1.887825142857141
2025-12-16 07:14:27.507,-1.8868206571428552,-1.8870833714285697,-1.8869641428571409
2025-12-16 07:14:28.504,-1.8882800857142839,-1.887729485714284,-1.888614799999998
2025-12-16 07:14:29.506,-1.888614799999998,-1.8884953142857124,-1.889189085714284
2025-12-16 07:14:30.503,-1.8883037714285698,-1.8886866285714268,-1.8886390571428555
2025-12-16 07:14:31.506,-1.8877774571428554,-1.8878012285714267,-1.8880647714285697
2025-12-16 07:14:32.504,-1.8878013142857124,-1.8866769142857125,-1.8876576571428552
2025-12-16 07:14:33.506,-1.8874421714285696,-1.8867486571428553,-1.8876576571428552
2025-12-16 07:14:34.505,-1.8873704285714268,-1.8874425142857125,-1.8881365142857125
2025-12-16 07:14:35.506,-1.8880164571428553,-1.8885670571428552,-1.8884956571428553
2025-12-16 07:14:36.505,-1.8885430571428552,-1.8886148857142837,-1.8882082571428553
2025-12-16 07:14:37.506,-1.8887826285714269,-1.888088199999998,-1.887298942857141
2025-12-16 07:14:38.500,-1.887992942857141,-1.8870116285714267,-1.8876816571428552
2025-12-16 07:14:39.506,-1.8879449714285697,-1.887322942857141,-1.887681799999998
2025-12-16 07:14:40.506,-1.8882082571428553,-1.8878495428571411,-1.8880407999999982
2025-12-16 07:14:41.503,-1.8878495428571411,-1.8884955714285696,-1.8873469142857124
2025-12-16 07:14:42.505,-1.887681999999998,-1.8884238285714268,-1.888447342857141
2025-12-16 07:14:43.506,-1.887346999999998,-1.8881365142857125,-1.888255742857141
2025-12-16 07:14:44.505,-1.887179542857141,-1.887729485714284,-1.8880882857142838
2025-12-16 07:14:45.509,-1.886892142857141,-1.8875139142857125,-1.8873704285714268
2025-12-16 07:14:46.506,-1.8867248285714266,-1.8872987714285696,-1.8875139999999981
2025-12-16 07:14:47.622,-1.8868443999999982,-1.8868204857142838,-1.887585742857141
2025-12-16 07:14:48.506,-1.8865812571428553,-1.8866769142857125,-1.8872270285714268
2025-12-16 07:14:49.622,-1.8875382571428552,-1.887729485714284,-1.8870356285714267
2025-12-16 07:14:50.506,-1.8876340571428554,-1.8889017714285694,-1.8873707714285697
2025-12-16 07:14:51.505,-1.8878012285714267,-1.8891891714285696,-1.888638799999998
2025-12-16 07:14:52.501,-1.8875859142857123,-1.888351742857141,-1.8882560857142838
2025-12-16 07:14:53.507,-1.8884234857142839,-1.887729485714284,-1.8879689714285697
2025-12-16 07:14:54.545,-1.8889021999999982,-1.8871551999999983,-1.8872752571428553
2025-12-16 07:14:55.505,-1.8883516571428554,-1.8870356285714267,-1.8870359714285696
2025-12-16 07:14:56.506,-1.8878732285714266,-1.8873707714285697,-1.8872511142857125
2025-12-16 07:14:57.506,-1.8882082571428553,-1.888638799999998,-1.8884713999999982
2025-12-16 07:14:58.505,-1.8878495428571411,-1.8884713999999982,-1.8882082571428553
2025-12-16 07:14:59.507,-1.8875384285714265,-1.8871077142857124,-1.8876102571428552
2025-12-16 07:15:00.504,-1.887921285714284,-1.8860551428571408,-1.8872752571428553
2025-12-16 07:15:01.507,-1.8880648571428553,-1.8863900285714266,-1.8875382571428552
2025-12-16 07:15:02.506,-1.8870359714285696,-1.8867487428571408,-1.886796399999998
2025-12-16 07:15:03.500,-1.8866768285714266,-1.886676999999998,-1.8874665142857123
2025-12-16 07:15:04.507,-1.8875860857142839,-1.8865334285714266,-1.8877057999999982
2025-12-16 07:15:05.508,-1.8880645142857124,-1.887179542857141,-1.8875860857142839
2025-12-16 07:15:06.504,-1.8873707714285697,-1.8875622285714269,-1.886963799999998
2025-12-16 07:15:07.506,-1.8875380857142838,-1.8883037714285698,-1.8873707714285697
2025-12-16 07:15:08.506,-1.8883279142857123,-1.8888300285714266,-1.888638799999998
2025-12-16 07:15:09.504,-1.8884952285714267,-1.888901857142855,-1.8883279142857123
2025-12-16 07:15:10.507,-1.8878732285714266,-1.8879447142857124,-1.8876099142857123
2025-12-16 07:15:11.506,-1.8881365142857125,-1.8873704285714268,-1.8871551999999983
2025-12-16 07:15:12.505,-1.888208342857141,-1.8874421714285696,-1.887226942857141
2025-12-16 07:15:13.504,-1.8875859142857123,-1.887657742857141,-1.8873947714285695
2025-12-16 07:15:14.500,-1.8879446285714265,-1.888351742857141,-1.887418742857141
2025-12-16 07:15:15.504,-1.8886866285714268,-1.8891891714285696,-1.8888060571428553
2025-12-16 07:15:16.507,-1.8880647714285697,-1.8886864571428552,-1.888303485714284
2025-12-16 07:15:17.505,-1.8877536571428553,-1.888662485714284,-1.8881124571428554
2025-12-16 07:15:18.508,-1.8881842571428553,-1.8876100571428551,-1.8880647714285697
2025-12-16 07:15:19.505,-1.8887825428571412,-1.8873469428571408,-1.8884713999999982
2025-12-16 07:15:20.508,-1.888352085714284,-1.8863659428571409,-1.8872511142857125
2025-12-16 07:15:21.508,-1.8881365142857125,-1.8878252285714265,-1.8869642285714268
2025-12-16 07:15:22.506,-1.8876576571428552,-1.8878970285714267,-1.8875622285714269
2025-12-16 07:15:23.506,-1.8876576571428552,-1.888662485714284,-1.8883755142857126
2025-12-16 07:15:24.506,-1.888208342857141,-1.8883994857142838,-1.8884712285714267
2025-12-16 07:15:25.505,-1.8881365142857125,-1.8886390571428555,-1.8887107999999984
2025-12-16 07:15:26.503,-1.8879449714285697,-1.8886390571428555,-1.888352085714284
2025-12-16 07:15:27.504,-1.8881365142857125,-1.8884712285714267,-1.8881365142857125
2025-12-16 07:15:28.504,-1.888208342857141,-1.8883037714285698,-1.8878012285714267
2025-12-16 07:15:29.507,-1.887729485714284,-1.8877774571428554,-1.8870833714285697
2025-12-16 07:15:30.585,-1.8874421714285696,-1.8878013142857124,-1.887322942857141
2025-12-16 07:15:31.506,-1.8875139999999981,-1.8875139142857125,-1.8879213714285696
2025-12-16 07:15:32.505,-1.8875139999999981,-1.8871551999999983,-1.8882082571428553
2025-12-16 07:15:33.508,-1.8874421714285696,-1.8872511999999981,-1.8880167999999982
2025-12-16 07:15:34.507,-1.8878730571428552,-1.8882800857142839,-1.8878491999999982
2025-12-16 07:15:35.507,-1.8876340571428554,-1.8884713999999982,-1.8878730571428552
2025-12-16 07:15:36.507,-1.8873947714285695,-1.887322942857141,-1.8871551999999983
2025-12-16 07:15:37.508,-1.8870833714285697,-1.8866769142857125,-1.8871074571428552
2025-12-16 07:15:38.501,-1.888016542857141,-1.8872987714285696,-1.8872270285714268
2025-12-16 07:15:39.505,-1.8874188285714266,-1.8876574857142838,-1.887585742857141
2025-12-16 07:15:40.506,-1.886772999999998,-1.8871551999999983,-1.8875139999999981
2025-12-16 07:15:41.508,-1.8861028857142839,-1.887322942857141,-1.8873704285714268
2025-12-16 07:15:42.506,-1.8871077142857124,-1.8878495428571411,-1.8880164571428553
2025-12-16 07:15:43.506,-1.8881365142857125,-1.8884955714285696,-1.8885430571428552
2025-12-16 07:15:44.507,-1.8894761428571412,-1.8885673142857125,-1.8888543714285697
2025-12-16 07:15:45.507,-1.887897285714284,-1.8874907428571412,-1.8877059714285696
2025-12-16 07:15:46.507,-1.8870123999999984,-1.8871318857142838,-1.8875384285714265
2025-12-16 07:15:47.509,-1.8868447142857123,-1.8874907428571412,-1.8877777142857126
2025-12-16 07:15:48.508,-1.8882320285714267,-1.8885673142857125,-1.8884955714285696
2025-12-16 07:15:49.500,-1.8881365142857125,-1.8884238285714268,-1.8884238285714268
2025-12-16 07:15:50.544,-1.888208342857141,-1.8881365142857125,-1.8882082571428553
2025-12-16 07:15:51.506,-1.8876576571428552,-1.8875859142857123,-1.887298942857141
2025-12-16 07:15:52.503,-1.8876576571428552,-1.888159942857141,-1.8876099142857123
2025-12-16 07:15:53.507,-1.8881365142857125,-1.8878253714285695,-1.8878970285714267
2025-12-16 07:15:54.504,-1.8885673999999981,-1.8870599714285694,-1.8876817571428552
2025-12-16 07:15:55.506,-1.8877059714285696,-1.8872273285714267,-1.8874664857142838
2025-12-16 07:15:56.505,-1.8877536571428553,-1.8873946857142838,-1.8877776571428553
2025-12-16 07:15:57.504,-1.888614799999998,-1.8886866285714268,-1.8878973714285696
2025-12-16 07:15:58.508,-1.8885430571428552,-1.8889735999999981,-1.8885669714285696
2025-12-16 07:15:59.507,-1.8881124571428554,-1.8879447142857124,-1.8879450571428553
2025-12-16 07:16:00.505,-1.8878970285714267,-1.8873704285714268,-1.8878491999999982
2025-12-16 07:16:01.507,-1.888088199999998,-1.8874421714285696,-1.887729485714284
2025-12-16 07:16:02.507,-1.887729485714284,-1.8878013142857124,-1.887729485714284
2025-12-16 07:16:03.508,-1.8875622285714269,-1.8879210285714267,-1.8878491999999982
2025-12-16 07:16:04.507,-1.8876820857142838,-1.887729485714284,-1.8880167999999982
2025-12-16 07:16:05.506,-1.8875622285714269,-1.887729485714284,-1.8882799999999982
2025-12-16 07:16:06.507,-1.8878730571428552,-1.8879927714285696,-1.8877061428571411
2025-12-16 07:16:07.504,-1.8873703428571411,-1.887514342857141,-1.8864858571428553
2025-12-16 07:16:08.508,-1.887657742857141,-1.8868203142857123,-1.8870359714285696
2025-12-16 07:16:09.506,-1.8884234857142839,-1.8880882857142838,-1.888184085714284
2025-12-16 07:16:10.508,-1.8888303714285695,-1.8886622857142839,-1.888088199999998
2025-12-16 07:16:11.508,-1.8886389714285698,-1.888949542857141,-1.887729485714284
2025-12-16 07:16:12.508,-1.8882085142857123,-1.888183999999998,-1.8877057999999982
2025-12-16 07:16:13.502,-1.8886389714285698,-1.8878013142857124,-1.887179542857141
2025-12-16 07:16:14.544,-1.8889021142857123,-1.8869638857142839,-1.8865334285714266
2025-12-16 07:16:15.506,-1.888064685714284,-1.8870834571428554,-1.8865334285714266
2025-12-16 07:16:16.509,-1.8874666857142837,-1.8881600285714266,-1.887179542857141
2025-12-16 07:16:17.509,-1.8877777142857126,-1.8883275714285697,-1.8877057999999982
2025-12-16 07:16:18.510,-1.8884238285714268,-1.8880164571428553,-1.887729485714284
2025-12-16 07:16:19.509,-1.8887825428571412,-1.887657742857141,-1.8880164571428553
2025-12-16 07:16:20.504,-1.8882560857142838,-1.8879927714285696,-1.8883275714285697
2025-12-16 07:16:21.508,-1.8876816571428552,-1.8875860857142839,-1.8881600285714266
2025-12-16 07:16:22.504,-1.886724657142855,-1.8866768285714266,-1.8870834571428554
2025-12-16 07:16:23.507,-1.8874665142857123,-1.8871077999999981,-1.8869638857142839
2025-12-16 07:16:24.505,-1.8875622285714269,-1.887777542857141,-1.887729485714284
2025-12-16 07:16:25.509,-1.8880167999999982,-1.8874425142857125,-1.888614799999998
2025-12-16 07:16:26.508,-1.8884234857142839,-1.8875380857142838,-1.8887826285714269
2025-12-16 07:16:27.506,-1.8885430571428552,-1.8882560857142838,-1.887921199999998
2025-12-16 07:16:28.506,-1.8883037714285698,-1.8888543714285697,-1.8883037714285698
2025-12-16 07:16:29.508,-1.8878491999999982,-1.8881365142857125,-1.8883274857142838
2025-12-16 07:16:30.508,-1.8873707714285697,-1.8874425142857125,-1.887657742857141
2025-12-16 07:16:31.508,-1.8876099142857123,-1.8870356285714267,-1.8876816571428552
2025-12-16 07:16:32.509,-1.8880405999999983,-1.8872987714285696,-1.8875383999999982
2025-12-16 07:16:33.505,-1.8880164571428553,-1.8870834571428554,-1.886988142857141
2025-12-16 07:16:34.506,-1.8878728857142837,-1.887896885714284,-1.8866054285714267
2025-12-16 07:16:35.625,-1.8885430571428552,-1.888519142857141,-1.887921285714284
2025-12-16 07:16:36.508,-1.8887107999999984,-1.8895717142857125,-1.8888543714285697
2025-12-16 07:16:37.509,-1.8882802571428552,-1.889165085714284,-1.8884712285714267
2025-12-16 07:16:38.509,-1.8884238285714268,-1.8899782571428552,-1.8883755142857126
2025-12-16 07:16:39.507,-1.888064685714284,-1.8890930857142838,-1.8874186571428553
2025-12-16 07:16:40.507,-1.8880167999999982,-1.8883034285714269,-1.8876820857142838
2025-12-16 07:16:41.546,-1.8878491999999982,-1.8870834571428554,-1.8876339714285697
2025-12-16 07:16:42.508,-1.8878013142857124,-1.8868204857142838,-1.8874425142857125
2025-12-16 07:16:43.509,-1.887298599999998,-1.8866769142857125,-1.8875380857142838
2025-12-16 07:16:44.507,-1.8880164571428553,-1.887729485714284,-1.8882560857142838
2025-12-16 07:16:45.508,-1.8886148857142837,-1.8889735999999981,-1.8889261142857126
2025-12-16 07:16:46.623,-1.8884953142857124,-1.8888300285714266,-1.8877777999999983
2025-12-16 07:16:47.509,-1.887657742857141,-1.888232028571427,-1.8873946857142838
2025-12-16 07:16:48.503,-1.8875139142857125,-1.8876338857142838,-1.8868682285714267
2025-12-16 07:16:49.507,-1.8871551999999983,-1.888447342857141,-1.887179199999998
2025-12-16 07:16:50.509,-1.8874665142857123,-1.8879687714285696,-1.8872987714285696
2025-12-16 07:16:51.500,-1.8873470857142838,-1.8876817428571409,-1.887226942857141
2025-12-16 07:16:52.508,-1.887322942857141,-1.8870116285714267,-1.8872511999999981
2025-12-16 07:16:53.510,-1.887729485714284,-1.8878730571428552,-1.8881365142857125
2025-12-16 07:16:54.511,-1.8884710571428553,-1.8878491999999982,-1.8889739428571408
2025-12-16 07:16:55.508,-1.8878730571428552,-1.8882321142857124,-1.8885669714285696
2025-12-16 07:16:56.509,-1.8866050857142838,-1.8872752571428553,-1.8869402285714267
2025-12-16 07:16:57.507,-1.887179542857141,-1.886916399999998,-1.8872751142857123
2025-12-16 07:16:58.507,-1.8874905714285695,-1.8870837142857124,-1.8875383999999982
2025-12-16 07:16:59.501,-1.8871077142857124,-1.8883518285714267,-1.8875382571428552
2025-12-16 07:17:00.509,-1.886892399999998,-1.8880647714285697,-1.886533342857141
2025-12-16 07:17:01.621,-1.8882082571428553,-1.888231942857141,-1.8878012285714267
2025-12-16 07:17:02.509,-1.8889739428571408,-1.888614799999998,-1.8886866285714268
2025-12-16 07:17:03.508,-1.8884234857142839,-1.888208342857141,-1.8884234857142839
