Timestamp,Channel1,Channel2,Channel3
2025-12-18 08:29:44.124,-1.121088,-1.185557,-1.42585
2025-12-18 08:29:45.130,-1.082575,-1.138671,-1.354683
2025-12-18 08:29:46.151,-1.064155,-1.116065,-1.325379
2025-12-18 08:29:47.127,-1.054945,-1.100994,-1.312821
2025-12-18 08:29:48.153,-1.051596,-1.095133,-1.305285
2025-12-18 08:29:49.120,-1.048247,-1.088435,-1.301099
2025-12-18 08:29:50.137,-1.044898,-1.084249,-1.29775
2025-12-18 08:29:51.137,-1.044898,-1.083412,-1.296075
2025-12-18 08:29:52.137,-1.042386,-1.080063,-1.294401
2025-12-18 08:29:53.137,-1.042386,-1.076714,-1.292726
2025-12-18 08:29:54.138,-1.039874,-1.076714,-1.291052
2025-12-18 08:29:55.137,-1.039037,-1.073365,-1.291052
2025-12-18 08:29:56.135,-1.039037,-1.073365,-1.28854
2025-12-18 08:29:57.136,-1.039874,-1.073365,-1.290215
2025-12-18 08:29:58.137,-1.039037,-1.072527,-1.289377
2025-12-18 08:29:59.132,-1.0382,-1.07169,-1.28854
2025-12-18 08:30:00.135,-1.0382,-1.072527,-1.289377
2025-12-18 08:30:01.134,-1.0382,-1.07169,-1.287703
2025-12-18 08:30:02.131,-1.0382,-1.072527,-1.289377
2025-12-18 08:30:03.135,-1.0382,-1.07169,-1.289377
2025-12-18 08:30:04.136,-1.037363,-1.073365,-1.28854
2025-12-18 08:30:05.137,-1.036525,-1.070016,-1.287703
2025-12-18 08:30:06.136,-1.039037,-1.073365,-1.290215
2025-12-18 08:30:07.137,-1.039037,-1.072527,-1.28854
2025-12-18 08:30:08.139,-1.039874,-1.072527,-1.290215
2025-12-18 08:30:09.138,-1.039037,-1.07169,-1.289377
2025-12-18 08:30:10.137,-1.0382,-1.070853,-1.28854
2025-12-18 08:30:11.137,-1.037363,-1.07169,-1.28854
2025-12-18 08:30:12.139,-1.039037,-1.07169,-1.28854
2025-12-18 08:30:13.137,-1.039874,-1.07169,-1.287703
2025-12-18 08:30:14.137,-1.0382,-1.072527,-1.28854
2025-12-18 08:30:15.136,-1.0382,-1.070853,-1.28854
2025-12-18 08:30:16.137,-1.0382,-1.07169,-1.287703
2025-12-18 08:30:17.135,-1.037363,-1.070853,-1.287703
2025-12-18 08:30:18.139,-1.039037,-1.072527,-1.28854
2025-12-18 08:30:19.137,-1.039037,-1.070853,-1.28854
2025-12-18 08:30:20.139,-1.0382,-1.070016,-1.287703
2025-12-18 08:30:21.139,-1.039037,-1.070016,-1.287703
2025-12-18 08:30:22.140,-1.0382,-1.070016,-1.287703
2025-12-18 08:30:23.137,-1.037363,-1.070853,-1.28854
2025-12-18 08:30:24.139,-1.0382,-1.070853,-1.286866
2025-12-18 08:30:25.137,-1.039037,-1.070853,-1.286866
2025-12-18 08:30:26.138,-1.037363,-1.070853,-1.28854
2025-12-18 08:30:27.137,-1.0382,-1.07169,-1.28854
2025-12-18 08:30:28.136,-1.036525,-1.07169,-1.287703
2025-12-18 08:30:29.138,-1.036525,-1.070853,-1.28854
2025-12-18 08:30:30.133,-1.037363,-1.070853,-1.287703
2025-12-18 08:30:31.137,-1.0382,-1.070016,-1.28854
2025-12-18 08:30:32.136,-1.037363,-1.07169,-1.287703
2025-12-18 08:30:33.137,-1.039037,-1.070853,-1.28854
2025-12-18 08:30:34.140,-1.037363,-1.070853,-1.287703
2025-12-18 08:30:35.138,-1.0382,-1.070016,-1.287703
2025-12-18 08:30:36.137,-1.037363,-1.070853,-1.287703
2025-12-18 08:30:37.137,-1.0382,-1.069178,-1.287703
2025-12-18 08:30:38.138,-1.037363,-1.070016,-1.287703
2025-12-18 08:30:39.138,-1.039037,-1.070853,-1.28854
2025-12-18 08:30:40.139,-1.0382,-1.070853,-1.287703
2025-12-18 08:30:41.137,-1.039037,-1.070016,-1.28854
2025-12-18 08:30:42.138,-1.039037,-1.07169,-1.287703
2025-12-18 08:30:43.135,-1.037363,-1.072527,-1.287703
2025-12-18 08:30:44.137,-1.037363,-1.070853,-1.287703
2025-12-18 08:30:45.137,-1.036525,-1.070016,-1.287703
2025-12-18 08:30:46.142,-1.0382,-1.07169,-1.289377
2025-12-18 08:30:47.138,-1.0382,-1.070853,-1.286866
2025-12-18 08:30:48.138,-1.036525,-1.070853,-1.28854
2025-12-18 08:30:49.138,-1.0382,-1.070853,-1.28854
2025-12-18 08:30:50.139,-1.0382,-1.070853,-1.286866
2025-12-18 08:30:51.140,-1.037363,-1.068341,-1.28854
2025-12-18 08:30:52.141,-1.039874,-1.070853,-1.287703
2025-12-18 08:30:53.138,-1.0382,-1.070853,-1.28854
2025-12-18 08:30:54.133,-1.0382,-1.07169,-1.28854
2025-12-18 08:30:55.138,-1.0382,-1.070853,-1.287703
2025-12-18 08:30:56.137,-1.0382,-1.07169,-1.287703
2025-12-18 08:30:57.141,-1.0382,-1.07169,-1.28854
2025-12-18 08:30:58.138,-1.0382,-1.07169,-1.287703
